Roll Angle, Pitch Angle, AccX, AccY, AccZ, Timer
-1.34,-0.86,0.01,-0.02,0.89,10892867
-1.34,-0.86,0.01,-0.02,0.89,10896817
-1.34,-0.86,0.01,-0.02,0.89,10900776
-1.34,-0.86,0.01,-0.02,0.89,10904719
-1.34,-0.86,0.01,-0.02,0.89,10908675
-1.34,-0.86,0.01,-0.02,0.89,10912634
-1.34,-0.86,0.01,-0.02,0.89,10916583
-1.34,-0.86,0.01,-0.02,0.89,10920543
-1.34,-0.86,0.01,-0.02,0.89,10924490
-1.34,-0.86,0.01,-0.02,0.89,10928441
-1.34,-0.86,0.01,-0.02,0.89,10932398
-1.34,-0.86,0.01,-0.02,0.89,10936347
-1.34,-0.86,0.01,-0.02,0.89,10940301
-1.34,-0.86,0.01,-0.02,0.89,10944248
-1.34,-0.86,0.01,-0.02,0.89,10948195
-1.34,-0.86,0.01,-0.02,0.89,10952158
-1.34,-0.86,0.01,-0.02,0.89,10956104
-1.34,-0.86,0.01,-0.02,0.89,10960065
-1.34,-0.86,0.01,-0.02,0.89,10964014
-1.34,-0.86,0.01,-0.02,0.89,10967972
-1.34,-0.86,0.01,-0.02,0.89,10971926
-1.34,-0.86,0.01,-0.02,0.89,10975881
-1.34,-0.86,0.01,-0.02,0.89,10979839
-1.34,-0.86,0.01,-0.02,0.89,10983788
-1.34,-0.86,0.01,-0.02,0.89,10987751
-1.34,-0.86,0.01,-0.02,0.89,10991699
-1.34,-0.86,0.01,-0.02,0.89,10995649
-1.34,-0.86,0.02,-0.02,0.89,10999605
-1.34,-0.86,0.01,-0.02,0.89,11003552
-1.34,-0.86,0.01,-0.02,0.89,11007510
-1.34,-0.86,0.01,-0.02,0.89,11011450
-1.34,-0.86,0.01,-0.02,0.89,11015410
-1.34,-0.86,0.01,-0.02,0.89,11019371
-1.34,-0.86,0.01,-0.02,0.89,11023321
-1.34,-0.86,0.01,-0.02,0.89,11027279
-1.34,-0.86,0.01,-0.02,0.89,11031220
-1.34,-0.86,0.01,-0.02,0.89,11035178
-1.34,-0.87,0.01,-0.02,0.89,11039132
-1.34,-0.87,0.01,-0.02,0.89,11043085
-1.34,-0.87,0.01,-0.02,0.89,11047045
-1.34,-0.87,0.02,-0.02,0.89,11050997
-1.34,-0.87,0.01,-0.02,0.89,11054957
-1.34,-0.87,0.01,-0.02,0.89,11058916
-1.34,-0.87,0.01,-0.02,0.89,11062857
-1.34,-0.87,0.01,-0.02,0.89,11066812
-1.34,-0.87,0.01,-0.02,0.89,11070753
-1.34,-0.87,0.01,-0.02,0.89,11074708
-1.34,-0.87,0.02,-0.02,0.89,11078660
-1.34,-0.87,0.01,-0.02,0.89,11082609
-1.34,-0.87,0.02,-0.02,0.89,11086565
-1.34,-0.87,0.02,-0.02,0.89,11090511
-1.34,-0.87,0.01,-0.02,0.89,11094460
-1.34,-0.87,0.01,-0.02,0.89,11098417
-1.34,-0.87,0.01,-0.02,0.89,11102362
-1.34,-0.87,0.01,-0.02,0.89,11106324
-1.34,-0.87,0.01,-0.02,0.89,11110280
-1.34,-0.87,0.01,-0.02,0.89,11114238
-1.34,-0.87,0.01,-0.02,0.89,11118189
-1.34,-0.87,0.01,-0.02,0.89,11122142
-1.34,-0.87,0.01,-0.02,0.89,11126104
-1.34,-0.87,0.01,-0.02,0.89,11130055
-1.34,-0.87,0.01,-0.02,0.89,11134017
-1.34,-0.87,0.01,-0.02,0.89,11137966
-1.34,-0.87,0.01,-0.02,0.89,11141918
-1.34,-0.87,0.01,-0.02,0.89,11145877
-1.34,-0.87,0.01,-0.02,0.89,11149822
-1.34,-0.87,0.01,-0.02,0.89,11153780
-1.34,-0.87,0.01,-0.02,0.89,11157728
-1.34,-0.87,0.01,-0.02,0.89,11161685
-1.34,-0.87,0.01,-0.02,0.89,11165643
-1.34,-0.87,0.01,-0.02,0.89,11169591
-1.34,-0.87,0.01,-0.02,0.89,11173544
-1.34,-0.87,0.01,-0.02,0.89,11177487
-1.34,-0.87,0.01,-0.02,0.89,11181443
-1.34,-0.87,0.01,-0.02,0.89,11185404
-1.34,-0.87,0.01,-0.02,0.89,11189356
-1.34,-0.87,0.01,-0.02,0.89,11193319
-1.34,-0.87,0.01,-0.02,0.89,11197266
-1.34,-0.87,0.01,-0.02,0.89,11201220
-1.34,-0.87,0.01,-0.02,0.89,11205182
-1.34,-0.87,0.01,-0.02,0.89,11209129
-1.34,-0.87,0.01,-0.02,0.89,11213086
-1.34,-0.87,0.01,-0.02,0.89,11217037
-1.34,-0.87,0.01,-0.02,0.89,11220985
-1.34,-0.87,0.01,-0.02,0.89,11224935
-1.34,-0.87,0.01,-0.02,0.89,11228884
-1.34,-0.87,0.01,-0.02,0.89,11232844
-1.34,-0.87,0.01,-0.02,0.89,11236789
-1.34,-0.87,0.01,-0.02,0.89,11240750
-1.34,-0.87,0.01,-0.02,0.89,11244700
-1.34,-0.87,0.01,-0.02,0.89,11248646
-1.34,-0.87,0.01,-0.02,0.89,11252606
-1.34,-0.87,0.01,-0.02,0.89,11256556
-1.34,-0.87,0.01,-0.02,0.89,11260514
-1.34,-0.87,0.01,-0.02,0.89,11264463
-1.34,-0.87,0.01,-0.02,0.89,11268420
-1.34,-0.87,0.01,-0.02,0.89,11272381
-1.34,-0.87,0.01,-0.02,0.89,11276332
-1.34,-0.87,0.01,-0.02,0.89,11280294
-1.34,-0.87,0.01,-0.02,0.89,11284242
-1.34,-0.87,0.01,-0.02,0.89,11288195
-1.34,-0.87,0.01,-0.02,0.89,11292155
-1.34,-0.87,0.01,-0.02,0.89,11296102
-1.35,-0.87,0.01,-0.02,0.89,11300063
-1.35,-0.87,0.01,-0.02,0.89,11304006
-1.35,-0.87,0.01,-0.02,0.89,11307958
-1.35,-0.87,0.01,-0.02,0.89,11311912
-1.35,-0.87,0.01,-0.02,0.89,11315855
-1.35,-0.87,0.01,-0.02,0.89,11319811
-1.35,-0.87,0.01,-0.02,0.89,11323762
-1.35,-0.87,0.01,-0.02,0.89,11327714
-1.35,-0.87,0.01,-0.02,0.89,11331669
-1.35,-0.87,0.01,-0.02,0.89,11335618
-1.35,-0.87,0.01,-0.02,0.89,11339579
-1.35,-0.87,0.01,-0.02,0.89,11343525
-1.35,-0.87,0.01,-0.02,0.89,11347477
-1.35,-0.87,0.01,-0.02,0.89,11351433
-1.35,-0.87,0.01,-0.02,0.89,11355381
-1.35,-0.87,0.01,-0.02,0.89,11359342
-1.35,-0.87,0.01,-0.02,0.89,11363291
-1.35,-0.87,0.01,-0.02,0.89,11367244
-1.35,-0.87,0.01,-0.02,0.89,11371195
-1.35,-0.87,0.01,-0.02,0.89,11375146
-1.35,-0.87,0.01,-0.02,0.89,11379104
-1.35,-0.87,0.01,-0.02,0.89,11383055
-1.35,-0.87,0.01,-0.02,0.89,11387012
-1.35,-0.87,0.01,-0.02,0.89,11390959
-1.35,-0.87,0.01,-0.02,0.89,11394913
-1.35,-0.87,0.01,-0.02,0.89,11398876
-1.35,-0.87,0.01,-0.02,0.89,11402827
-1.35,-0.87,0.01,-0.02,0.89,11406786
-1.35,-0.87,0.01,-0.02,0.89,11410738
-1.35,-0.87,0.01,-0.02,0.89,11414683
-1.35,-0.87,0.01,-0.02,0.89,11418645
-1.35,-0.87,0.01,-0.02,0.89,11422588
-1.35,-0.87,0.01,-0.02,0.89,11426550
-1.35,-0.87,0.01,-0.02,0.89,11430496
-1.35,-0.87,0.01,-0.02,0.89,11434440
-1.35,-0.87,0.01,-0.02,0.89,11438405
-1.35,-0.87,0.01,-0.02,0.89,11442355
-1.35,-0.87,0.01,-0.02,0.89,11446317
-1.35,-0.87,0.01,-0.02,0.89,11450267
-1.35,-0.87,0.01,-0.02,0.89,11454215
-1.35,-0.87,0.01,-0.02,0.89,11458176
-1.35,-0.87,0.01,-0.02,0.89,11462117
-1.35,-0.87,0.01,-0.02,0.89,11466076
-1.35,-0.87,0.01,-0.02,0.89,11470026
-1.35,-0.87,0.01,-0.02,0.89,11473982
-1.34,-0.87,0.01,-0.02,0.89,11477937
