Roll Angle, Pitch Angle, AccX, AccY, AccZ, Timer
-1.32,-0.84,0.01,-0.02,0.89,12820706
-1.32,-0.84,0.01,-0.02,0.89,12824654
-1.32,-0.84,0.01,-0.02,0.89,12828601
-1.32,-0.84,0.01,-0.02,0.89,12832548
-1.32,-0.84,0.01,-0.02,0.89,12836504
-1.32,-0.84,0.01,-0.02,0.89,12840456
-1.32,-0.84,0.01,-0.02,0.89,12844405
-1.32,-0.84,0.01,-0.02,0.89,12848350
-1.32,-0.84,0.01,-0.02,0.89,12852297
-1.32,-0.84,0.01,-0.02,0.89,12856242
-1.32,-0.84,0.01,-0.02,0.89,12860201
-1.32,-0.84,0.01,-0.02,0.89,12864153
-1.32,-0.84,0.01,-0.02,0.89,12868120
-1.32,-0.84,0.01,-0.02,0.89,12872072
-1.32,-0.84,0.01,-0.02,0.89,12876018
-1.32,-0.84,0.01,-0.02,0.89,12879980
-1.32,-0.84,0.01,-0.02,0.89,12883936
-1.32,-0.84,0.01,-0.02,0.89,12887900
-1.32,-0.84,0.01,-0.02,0.89,12891851
-1.32,-0.84,0.01,-0.02,0.89,12895807
-1.32,-0.84,0.01,-0.02,0.89,12899769
-1.31,-0.84,0.01,-0.02,0.89,12903713
-1.31,-0.84,0.01,-0.02,0.89,12907675
-1.31,-0.84,0.01,-0.02,0.89,12911626
-1.31,-0.84,0.01,-0.02,0.89,12915585
-1.31,-0.84,0.01,-0.02,0.89,12919542
-1.31,-0.84,0.01,-0.02,0.89,12923492
-1.31,-0.84,0.01,-0.02,0.89,12927448
-1.31,-0.84,0.01,-0.02,0.89,12931393
-1.31,-0.84,0.01,-0.02,0.89,12935342
-1.31,-0.84,0.01,-0.02,0.89,12939301
-1.31,-0.84,0.01,-0.02,0.89,12943244
-1.31,-0.84,0.01,-0.02,0.89,12947199
-1.31,-0.84,0.01,-0.02,0.89,12951154
-1.31,-0.84,0.01,-0.02,0.89,12955110
-1.31,-0.84,0.01,-0.02,0.89,12959062
-1.31,-0.84,0.01,-0.02,0.89,12963008
-1.31,-0.84,0.01,-0.02,0.89,12966970
-1.31,-0.84,0.01,-0.02,0.89,12970921
-1.31,-0.84,0.01,-0.02,0.89,12974872
-1.31,-0.84,0.01,-0.02,0.89,12978826
-1.32,-0.84,0.01,-0.02,0.89,12982776
-1.32,-0.84,0.01,-0.02,0.89,12986734
-1.32,-0.84,0.01,-0.02,0.89,12990686
-1.32,-0.84,0.01,-0.02,0.89,12994642
-1.32,-0.84,0.01,-0.02,0.89,12998589
-1.32,-0.84,0.01,-0.02,0.89,13002539
-1.32,-0.84,0.02,-0.02,0.89,13006499
